company_name,website_or_listing,phone,service_area,segment,call_status,day0_called,day0_whatsapp,day2_follow_up,day5_follow_up,verification_status,notes
Kwality Gas,https://www.kwalitygas.com/commercial.html,+91 78997 87886,West and central Bangalore,Private commercial LPG,Not started,,,,,Prospect,"Private commercial player; also listed +91 91080 01990 on site."
Jyothi Gas Bengaluru,https://www.jyothigas.com/find-dealer,+91 80 43404040,Bangalore wide,Private LPG network,Not started,,,,,Prospect,"Commercial and industrial LPG listed on dealer locator."
M SUPER - SUPERGAS,https://www.supergas.com/cylinder-dealers-page/M-SUPER-560076-Bangalore-No-E140-E41-2nd-Cross-Syndicat4-Bank-Colony-Bengaluru-202754,+91 92431 19301,South Bangalore / Bannerghatta belt,Private commercial LPG,Not started,,,,,Prospect,"SUPERGAS franchisee."
VIKAT GAS AGENCY - SUPERGAS,https://www.supergas.com/cylinder-dealers-page/VIKAT-GAS-AGENCY-560083-Bangalore-Shop-No-5--Gundappa-Layout--Gottigere-Near-Bhavya-HotelBeside-Jio-202779,+91 90083 43490,Gottigere and South Bangalore,Private commercial LPG,Not started,,,,,Prospect,"SUPERGAS franchisee near restaurant-heavy corridor."
Indane - Supply Depot Gas Agency,https://locator.iocl.com/indane,+91 73640 62903,Cubbon Road / central Bangalore,Commercial + domestic,Not started,,,,,Prospect,"Official Indane locator; search exact agency name."
Indane - Golden Palm Gas Agency,https://locator.iocl.com/indane,+91 84960 95222,Cubbon Road / central Bangalore,Commercial + domestic,Not started,,,,,Prospect,"Official Indane locator; search exact agency name."
Indane - K K Enterprises,https://locator.iocl.com/indane,+91 99020 40184,Halasuru / east Bangalore,Commercial + domestic,Not started,,,,,Prospect,"Official Indane locator; search exact agency name."
Indane - R R Enterprises,https://locator.iocl.com/indane/indane-r-r-enterprises-gas-agency-vivek-nagar-bengaluru-209704/Contact-Us,+91 98451 47224,Vivek Nagar / central-east Bangalore,Commercial + domestic,Not started,,,,,Prospect,"Near commercial food belts."
Indane - Murali Enterprises,https://locator.iocl.com/indane,+91 80 25453742,Kalyan Nagar / north-east Bangalore,Commercial + domestic,Not started,,,,,Prospect,"Official Indane locator; search exact agency name."
Indane - SNS Gas Agency,https://locator.iocl.com/indane,+91 99453 60606,RR Nagar / west Bangalore,Commercial + domestic,Not started,,,,,Prospect,"Official Indane locator; search exact agency name."
Indane - C K M Distributors,https://locator.iocl.com/indane,+91 98440 20307,JP Nagar,Commercial + domestic,Not started,,,,,Prospect,"Official Indane locator; search exact agency name."
Indane - D K Agencies,https://locator.iocl.com/indane/indane-d-k-agencies-gas-agency-jp-nagar-bengaluru-297538/Contact-Us,+91 98868 49865,JP Nagar 2nd Phase,Commercial + domestic,Not started,,,,,Prospect,"Commercial enquiry form is live."
Indane - Sheela Agencies,https://locator.iocl.com/indane,+91 92434 54664,JP Nagar / south Bangalore,Commercial + domestic,Not started,,,,,Prospect,"Official Indane locator; search exact agency name."
Indane - Sri Gurukrupa,https://locator.iocl.com/indane,+91 94480 49211,JP Nagar,Commercial + domestic,Not started,,,,,Prospect,"Official Indane locator; search exact agency name."
Indane - J N Enterprises,https://locator.iocl.com/indane,+91 82172 59478,BTM 1st Stage,Commercial + domestic,Not started,,,,,Prospect,"Official Indane locator; search exact agency name."
Indane - Mouryateja Gas Agency,https://locator.iocl.com/indane,+91 99456 68899,Tavarekere / BTM belt,Commercial + domestic,Not started,,,,,Prospect,"Official Indane locator; search exact agency name."
Indane - Ganapa Distributors,https://locator.iocl.com/indane,+91 99720 41878,Koramangala,Commercial + domestic,Not started,,,,,Prospect,"Official Indane locator; search exact agency name."
Indane - Chandra Gas Distributors,https://locator.iocl.com/indane,+91 80 23395564,Attiguppe / Vijayanagar side,Commercial + domestic,Not started,,,,,Prospect,"Official Indane locator; search exact agency name."
Indane - Sri Vinayaka Agencies,https://locator.iocl.com/indane,+91 94482 85509,Jayanagar / Tilak Nagar,Commercial + domestic,Not started,,,,,Prospect,"Official Indane locator; search exact agency name."
Indane - Sri Sai Prasanna Services,https://locator.iocl.com/indane,+91 97420 62333,Arekere / Begur Main Road,Commercial + domestic,Not started,,,,,Prospect,"Official Indane locator; search exact agency name."
